machine	subject	start_time	end_time	stim	block	correct	latency	fluent	learning
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:15:51.484	2013-10-15 09:15:51.584000	THE(2)	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:15:51.594	2013-10-15 09:15:51.874000	NEW	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:15:51.884	2013-10-15 09:15:52.354000	DEAL	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:05.751	2013-10-15 09:16:06.281000	PARTY	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:10.141	2013-10-15 09:16:10.381000	SUMMER	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:19.341	2013-10-15 09:16:19.541000	IN(2)	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:19.551	2013-10-15 09:16:19.691000	THE	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:20.761	2013-10-15 09:16:22.041000	1932	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:24.121	2013-10-15 09:16:24.321000	OF	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:24.331	2013-10-15 09:16:24.541000	NEW	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:24.941	2013-10-15 09:16:25.291000	WAS(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:25.491	2013-10-15 09:16:26.241000	NOMINATED	block	1	0.2000	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:26.251	2013-10-15 09:16:26.441000	AS(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:26.451	2013-10-15 09:16:26.501000	THE(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:27.561	2013-10-15 09:16:27.741000	OF	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:28.011	2013-10-15 09:16:28.121000	THE	block	1	0.2700	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:16:28.131	2013-10-15 09:16:28.711000	DEMOCRATIC	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:15.191	2013-10-15 09:17:15.961000	FLOWER	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:15.971	2013-10-15 09:17:16.501000	GARDEN	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:16.511	2013-10-15 09:17:16.781000	BY	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:29.491	2013-10-15 09:17:30.111000	DANA	block	1	\N	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:30.121	2013-10-15 09:17:30.591000	LOVES	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:30.601	2013-10-15 09:17:31.581000	FLOWERS	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:33.681	2013-10-15 09:17:33.961000	SHE	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:33.971	2013-10-15 09:17:34.261000	LIKES	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:34.271	2013-10-15 09:17:34.781000	DAISIES	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:34.791	2013-10-15 09:17:35.301000	TULIPS	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:35.311	2013-10-15 09:17:36.511000	AND	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:47.331	2013-10-15 09:17:48.261000	HER(2)	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:48.271	2013-10-15 09:17:48.891000	TULIPS	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:48.901	2013-10-15 09:17:49.061000	AND(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:49.071	2013-10-15 09:17:49.691000	DAFFODILS	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:49.701	2013-10-15 09:17:50.021000	COME	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:50.031	2013-10-15 09:17:50.321000	UP	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:50.331	2013-10-15 09:17:50.651000	EVERY(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:50.661	2013-10-15 09:17:51.411000	SPRING(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:51.771	2013-10-15 09:17:52.221000	AND	block	1	0.3600	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:17:52.621	2013-10-15 09:17:52.721000	THE	block	1	0.4000	1	2
